код;название;код родит. системы;комментарий
36-22-00;СИСТЕМА ОБНАРУЖЕНИЯ УТЕЧЕК;36-00-00;
38-10-00;СНАБЖЕНИЕ ПИТЬЕВОЙ ВОДОЙ;38-00-00;
38-11-00;СИСТЕМА ХРАНЕНИЯ ВОДЫ;38-00-00;
38-12-00;ПОДАЧА ВОДЫ;38-00-00;
38-13-00;СИСТЕМА ИНДИКАЦИИ КОЛИЧЕСТВА ВОДЫ В ВОДЯНОМ БАКЕ;38-00-00;
38-31-00;СИСТЕМА ХРАНЕНИЯ ОТБРОСОВ;38-00-00;
38-32-00;СИСТЕМА УДАЛЕНИЯ ОТБРОСОВ;38-00-00;
38-33-00;СИСТЕМА ИНДИКАЦИИ КОЛИЧЕСТВА ОТБРОСОВ В СЛИВНОМ БАКЕ;38-00-00;
38-41-00;СИСТЕМА ПОДАЧИ ВОЗДУХА;38-00-00;
44-20-00;СИСТЕМА РАЗВЛЕЧЕНИЯ ПАССАЖИРОВ;44-00-00;
45-11-00;БОРТОВАЯ СИСТЕМА ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ;45-00-00;
46-21-00;ЭЛЕКТРОННЫЙ ПОЛЁТНЫЙ ПЛАНШЕТ;46-00-00;
49-16-00;ВХОДНОЕ УСТРОЙСТВО ВСУ;49-00-00;
49-31-00;ТОПЛИВНАЯ СИСТЕМА ВСУ;49-00-00;
49-41-00;СИСТЕМА ЗАПУСКА И ЗАЖИГАНИЯ;49-00-00;
49-51-00;СИСТЕМА ОТБОРА ВОЗДУХА ОТ ВСУ;49-00-00;
49-61-00;СИСТЕМА УПРАВЛЕНИЯ И КОНТРОЛЯ;49-00-00;
49-71-00;АНАЛИЗАТОРЫ;49-00-00;
49-91-00;СИСТЕМА СМАЗКИ ВСУ;49-00-00;
52-11-00;ВХОДНЫЕ ДВЕРИ;52-00-00;
52-12-00;СЛУЖЕБНЫЕ ДВЕРИ;52-00-00;
52-31-00;ПЕРЕДНЯЯ ГРУЗОВАЯ ДВЕРЬ;52-00-00;
52-32-00;ЗАДНЯЯ ГРУЗОВАЯ ДВЕРЬ;52-00-00;
52-41-00;ЛЮКИ;52-00-00;
52-51-00;ДВЕРЬ КАБИНЫ ЭКИПАЖА;52-00-00;
73-11-00;ТОПЛИВНЫЕ АГРЕГАТЫ;73-00-00;
73-21-00;СИСТЕМА УПРАВЛЕНИЯ ДВИГАТЕЛЕМ;73-00-00;
73-31-00;СИСТЕМА КОНТРОЛЯ РАСХОДА ТОПЛИВА;73-00-00;
74-10-00;ЗАЖИГАНИЕ;74-00-00;
74-11-00;ВЫСОКОВОЛЬТНОЕ ОБОРУДОВАНИЕ;74-00-00;
75-21-00;СИСТЕМА АКТИВНОГО РЕГУЛИРОВАНИЯ ЗАЗОРОВ ТВД;75-00-00;
75-30-00;СИСТЕМА УПРАВЛЕНИЯ КОМПРЕССОРОМ;75-00-00;
75-31-00;СИСТЕМА РЕГУЛИРУЕМОГО НАПРАВЛЯЮЩЕГО АППАРАТА КВД;75-00-00;
75-32-00;СИСТЕМА ПЕРЕПУСКА ВОЗДУХА (КОМПРЕССОР НД);75-00-00;
75-33-00;СИСТЕМА ПЕРЕПУСКА ВОЗДУХА (КОМПРЕССОР ВД);75-00-00;
76-11-00;СИСТЕМА УПРАВЛЕНИЯ РЕЖИМОМ РАБОТЫ ДВИГАТЕЛЯ;76-00-00;
77-11-00;СИСТЕМА КОНТРОЛЯ МОЩНОСТИ;77-00-00;
77-21-00;СИСТЕМА КОНТРОЛЯ ТЕМПЕРАТУРЫ ВЫХОДЯЩИХ ГАЗОВ;77-00-00;
77-30-00;СИСТЕМА КОНТРОЛЯ ВИБРАЦИИ ДВИГАТЕЛЯ;77-00-00;
78-30-00;РЕВЕРСИВНОЕ УСТРОЙСТВО;78-00-00;
78-31-00;СИСТЕМА УПРАВЛЕНИЯ И ИНДИКАЦИИ РЕВЕРСИВНОГО УСТРОЙСТВА;78-00-00;
78-32-00;КОНСТРУКЦИЯ РЕВЕРСИВНОГО УСТРОЙСТВА;78-00-00;
78-37-00;СИСТЕМА НЕЗАВИСИМЫХ ЗАМКОВ РЕВЕРСИВНОГО УСРОЙСТВА;78-00-00;
79-21-00;СИСТЕМА РАСПРЕДЕЛЕНИЯ МАСЛА;79-00-00;
79-31-00;СИСТЕМА ИНДИКАЦИИ КОЛИЧЕСТВА МАСЛА;79-00-00;
79-32-00;СИСТЕМА ИНДИКАЦИИ ДАВЛЕНИЯ МАСЛА;79-00-00;
79-34-00;СИСТЕМА ИНДИКАЦИИ ТЕМПЕРАТУРЫ МАСЛА;79-00-00;
79-35-00;СИСТЕМА СИГНАЛИЗАЦИИ ЗАСОРЕНИЯ МАСЛЯНОГО ФИЛЬТРА;79-00-00;
80-11-00;ВОЗДУШНЫЙ ТУРБОСТАРТЁР И КЛАПАН;80-00-00;
