Имя;Номер работы;Раздел;Подраздел;Код системы;Номер страницы начальной;Номер страницы конечной;Номер фактической страницы
Неисправность внутренней цепи блока управления генератором левого двигателя (цепи определения состояния сигнализатора давления);24-20-00-810-896;24-20-00;810-896;24-20-00;201;202;295
Неисправность внутренней цепи блока управления генератором левого двигателя (цепи определения состояния сигнала шасси обжато);24-20-00-810-897;24-20-00;810-897;24-20-00;201;202;297
Сигнальный контакт контактора К2 ошибочно замкнут на корпус при отсутствии сигнала на включение контактора K2 или сигнальный контакт контактора К2 ошибочно не замкнут на корпус при наличии сигнала на включение контактора К2;24-20-00-810-898;24-20-00;810-898;24-20-00;201;202;299
Ложный сигнал обнаружения превышения допустимого тока катушки контактора К2;24-20-00-810-899;24-20-00;810-899;24-20-00;201;202;301
Цепь определения состояния катушки контактора K2 ошибочно активна или не активна;24-20-00-810-900;24-20-00;810-900;24-20-00;201;202;303
КЗ в цепи обнаружения превышения допустимого тока катушки контактора K2;24-20-00-810-901;24-20-00;810-901;24-20-00;201;202;305
Отказ кнопки-табло R GEN или цепи определения состояния кнопки-табло с неподключением генератора к шине;24-20-00-810-902;24-20-00;810-902;24-20-00;201;202;307
Отказ кнопки-табло R GEN или цепи определения состояния кнопки-табло;24-20-00-810-903;24-20-00;810-903;24-20-00;201;202;309
Отказ при определении состояния кнопки-табло R GEN с неподключением генератора к шине;24-20-00-810-904;24-20-00;810-904;24-20-00;201;202;311
Низкое напряжение плюсовой цепи возбудителя генератора правого двигателя;24-20-00-810-905;24-20-00;810-905;24-20-00;201;202;313
Низкое или высокое напряжение минусовой цепи возбудителя генератора правого двигателя;24-20-00-810-907;24-20-00;810-907;24-20-00;201;202;315
Низкое напряжение генератора на постоянных магнитах генератора правого двигателя;24-20-00-810-908;24-20-00;810-908;24-20-00;201;202;317
Отказ в управлении током сервоклапана привод-генератора правого двигателя;24-20-00-810-909;24-20-00;810-909;24-20-00;201;202;319
Цепь обнаружения сверхтоков сервоклапана привод-генератора правого двигателя ошибочно активна;24-20-00-810-910;24-20-00;810-910;24-20-00;201;202;321
Отказ контроля частоты вращения правого двигателя;24-20-00-810-911;24-20-00;810-911;24-20-00;201;202;323
Цепь определения состояния реле отключения кухонь ошибочно разомкнута (для блока управления генератором правого двигателя);24-20-00-810-912;24-20-00;810-912;24-20-00;201;202;325
Цепь определения состояния реле отключения кухонь ошибочно замкнута (для блока управления генератором правого двигателя);24-20-00-810-913;24-20-00;810-913;24-20-00;201;202;327
Отказ цифровой системы управления правым двигателем (для блока управления генератором правого двигателя);24-20-00-810-914;24-20-00;810-914;24-20-00;201;202;329
Отказ сигнализатора температуры масла привод-генератора правого двигателя или цепи сигнализатора температуры или цепь определения состояния сигнализатора температуры ошибочно в состоянии высоко или низко;24-20-00-810-915;24-20-00;810-915;24-20-00;201;202;331
Перегрев масла привод-генератора правого двигателя;24-20-00-810-916;24-20-00;810-916;24-20-00;201;202;333
Расцепление привод-генератора и коробки приводов правого двигателя в результате срабатывания термической защиты;24-20-00-810-917;24-20-00;810-917;24-20-00;201;202;335
Не срабатывание расцепления привод-генератора и коробки приводов правого двигателя при термической защите привод- генератора;24-20-00-810-918;24-20-00;810-918;24-20-00;201;202;337
